Row,Predicted
t0,neutral
t1,neutral
t7,neutral
t3,neutral
t2,neutral
t4,neutral
t5,neutral
t6,neutral
t13,neutral
t12,neutral
t8,negative
t11,neutral
t9,neutral
t10,positive
t15,negative
t14,neutral
t20,neutral
t16,positive
t17,neutral
t23,neutral
t22,neutral
t28,neutral
t21,neutral
t19,neutral
t31,neutral
t30,neutral
t29,positive
t18,neutral
t39,neutral
t25,neutral
t27,positive
t24,negative
t36,neutral
t38,neutral
t47,positive
t46,neutral
t35,neutral
t33,neutral
t55,neutral
t32,neutral
t37,neutral
t44,neutral
t26,neutral
t45,neutral
t34,neutral
t43,neutral
t40,neutral
t42,neutral
t52,neutral
t54,neutral
t48,neutral
t51,neutral
t53,neutral
t60,neutral
t41,negative
t50,neutral
t62,neutral
t59,negative
t56,neutral
t68,neutral
t61,neutral
t64,neutral
t67,neutral
t49,neutral
t58,neutral
t70,neutral
t69,neutral
t72,neutral
t63,neutral
t76,neutral
t78,neutral
t66,neutral
t77,neutral
t71,neutral
t74,neutral
t80,neutral
t57,positive
t75,neutral
t79,neutral
t65,neutral
t81,neutral
t73,neutral
t82,neutral
t83,neutral
t84,neutral
t85,neutral
t86,neutral
t87,neutral
t88,neutral
t89,neutral
t90,neutral
t91,neutral
t92,positive
t93,neutral
t94,neutral
t95,neutral
t96,positive
t97,neutral
t98,neutral
t99,neutral
t100,neutral
t101,neutral
t102,negative
t103,neutral
t104,neutral
t105,neutral
t106,negative
t107,positive
t108,neutral
t109,neutral
t110,neutral
t111,neutral
t112,neutral
t113,neutral
t114,positive
t115,positive
t116,neutral
t117,positive
t118,neutral
t119,positive
t120,neutral
t121,neutral
t122,neutral
t123,neutral
t124,neutral
t125,neutral
t126,neutral
t127,neutral
t128,neutral
t129,neutral
t130,neutral
t131,neutral
t132,neutral
t133,neutral
t134,neutral
t135,neutral
t136,neutral
t137,neutral
t138,neutral
t139,neutral
t140,neutral
t141,neutral
t142,neutral
t143,neutral
t144,neutral
t145,neutral
t146,neutral
t147,neutral
t148,negative
t149,neutral
t150,neutral
t151,neutral
t152,neutral
t153,neutral
t154,neutral
t155,negative
t156,neutral
t157,neutral
t158,neutral
t159,positive
t160,neutral
t161,neutral
t162,neutral
t163,neutral
t164,neutral
t165,neutral
t166,neutral
t167,neutral
t168,neutral
t169,neutral
t170,neutral
t171,neutral
t172,neutral
t173,neutral
t174,positive
t175,positive
t176,neutral
t177,neutral
t178,neutral
t179,positive
t180,neutral
t181,neutral
t182,neutral
t183,neutral
t184,negative
t185,neutral
t186,neutral
t187,neutral
t188,positive
t189,neutral
t190,neutral
t191,neutral
t192,neutral
t193,neutral
t194,neutral
t195,neutral
t196,neutral
t197,neutral
t198,neutral
t199,neutral
t200,neutral
t201,neutral
t202,neutral
t203,neutral
t204,neutral
t205,neutral
t206,neutral
t207,neutral
t208,neutral
t209,neutral
t210,neutral
t211,neutral
t212,neutral
t213,neutral
t214,neutral
t215,neutral
t216,neutral
t217,neutral
t218,neutral
t219,neutral
t220,neutral
t221,neutral
t222,neutral
t223,neutral
t224,neutral
t225,neutral
t226,neutral
t227,neutral
t228,positive
t229,neutral
t230,neutral
t231,neutral
t232,neutral
t233,neutral
t234,neutral
t235,neutral
t236,neutral
t237,neutral
t238,neutral
t239,negative
t240,neutral
t241,negative
t242,neutral
t243,neutral
t244,neutral
t245,neutral
t246,neutral
t247,neutral
t248,neutral
t249,neutral
t250,neutral
t251,neutral
t252,neutral
t253,neutral
t254,neutral
t255,neutral
t256,neutral
t257,neutral
t258,neutral
t259,neutral
t260,neutral
t261,neutral
t262,neutral
t263,neutral
t264,neutral
t265,neutral
t266,neutral
t267,neutral
t268,positive
t269,neutral
t270,neutral
t271,neutral
t272,neutral
t273,neutral
t274,neutral
t275,neutral
t276,positive
t277,neutral
t278,neutral
t279,neutral
t280,neutral
t281,neutral
t282,positive
t283,neutral
t284,neutral
t285,neutral
t286,neutral
t287,neutral
t288,neutral
t289,neutral
t290,neutral
t291,neutral
t292,neutral
t293,neutral
t294,neutral
t295,neutral
t296,neutral
t297,neutral
