Row,Predicted
t6,neutral
t5,neutral
t1,positive
t4,neutral
t2,neutral
t3,neutral
t0,neutral
t7,positive
t10,neutral
t13,neutral
t12,neutral
t11,neutral
t8,neutral
t14,neutral
t9,neutral
t15,neutral
t17,neutral
t18,neutral
t20,neutral
t21,neutral
t19,neutral
t22,positive
t16,neutral
t23,neutral
t26,negative
t29,neutral
t25,positive
t28,neutral
t27,neutral
t30,positive
t34,neutral
t24,neutral
t31,neutral
t42,neutral
t36,positive
t37,positive
t35,neutral
t32,neutral
t44,neutral
t50,neutral
t38,neutral
t43,neutral
t40,neutral
t58,neutral
t39,neutral
t33,neutral
t66,neutral
t45,positive
t47,neutral
t41,positive
t48,neutral
t74,neutral
t49,positive
t53,positive
t55,neutral
t56,neutral
t51,neutral
t52,neutral
t46,neutral
t63,neutral
t57,positive
t59,neutral
t60,neutral
t61,neutral
t64,negative
t54,neutral
t82,neutral
t65,neutral
t62,neutral
t72,neutral
t69,neutral
t73,neutral
t67,neutral
t71,negative
t80,neutral
t81,neutral
t70,negative
t68,neutral
t78,positive
t75,neutral
t77,neutral
t79,neutral
t76,neutral
t83,neutral
t84,neutral
t85,neutral
t86,neutral
t87,neutral
t88,neutral
t89,neutral
t90,neutral
t91,neutral
t92,neutral
t93,neutral
t94,neutral
t95,neutral
t96,neutral
t97,neutral
t98,neutral
t99,neutral
t100,neutral
t101,neutral
t102,neutral
t103,neutral
t104,neutral
t105,neutral
t106,neutral
t107,neutral
t108,positive
t109,neutral
t110,neutral
t111,positive
t112,neutral
t113,neutral
t114,neutral
t115,neutral
t116,neutral
t117,neutral
t118,neutral
t119,neutral
t120,neutral
t121,neutral
t122,neutral
t123,neutral
t124,neutral
t125,neutral
t126,neutral
t127,neutral
t128,neutral
t129,neutral
t130,neutral
t131,neutral
t132,neutral
t133,neutral
t134,neutral
t135,neutral
t136,neutral
t137,neutral
t138,neutral
t139,neutral
t140,negative
t141,neutral
t142,neutral
t143,neutral
t144,neutral
t145,neutral
t146,neutral
t147,neutral
t148,neutral
t149,neutral
t150,neutral
t151,neutral
t152,neutral
t153,neutral
t154,neutral
t155,neutral
t156,neutral
t157,neutral
t158,neutral
t159,neutral
t160,neutral
t161,neutral
t162,neutral
t163,neutral
t164,neutral
t165,positive
t166,neutral
t167,neutral
t168,neutral
t169,neutral
t170,neutral
t171,neutral
t172,neutral
