Row,Predicted
t6,neutral
t2,neutral
t3,neutral
t0,neutral
t4,neutral
t5,neutral
t7,neutral
t1,neutral
t11,neutral
t10,neutral
t8,neutral
t12,neutral
t13,neutral
t9,neutral
t14,neutral
t15,positive
t16,positive
t19,neutral
t22,positive
t21,neutral
t23,neutral
t30,positive
t27,neutral
t17,neutral
t38,neutral
t31,neutral
t35,neutral
t20,neutral
t18,positive
t29,neutral
t25,neutral
t24,neutral
t39,neutral
t26,neutral
t37,neutral
t28,neutral
t47,neutral
t46,neutral
t45,neutral
t36,neutral
t32,neutral
t33,neutral
t43,neutral
t34,neutral
t41,neutral
t40,neutral
t42,neutral
t51,neutral
t49,neutral
t53,neutral
t48,neutral
t57,neutral
t55,neutral
t44,neutral
t56,neutral
t59,neutral
t54,neutral
t52,neutral
t62,neutral
t65,neutral
t67,neutral
t70,neutral
t61,neutral
t63,neutral
t64,neutral
t71,neutral
t73,neutral
t78,neutral
t60,neutral
t79,neutral
t69,neutral
t75,neutral
t68,neutral
t50,neutral
t82,neutral
t72,neutral
t76,neutral
t80,neutral
t58,neutral
t83,neutral
t77,neutral
t81,neutral
t66,neutral
t74,neutral
t84,neutral
t85,neutral
t86,neutral
t87,neutral
t88,neutral
t89,neutral
t90,neutral
t91,neutral
t92,neutral
t93,neutral
t94,neutral
t95,neutral
t96,neutral
t97,neutral
t98,neutral
t99,positive
t100,neutral
t101,neutral
t102,neutral
t103,neutral
t104,neutral
t105,neutral
t106,neutral
t107,neutral
t108,neutral
t109,neutral
t110,neutral
t111,neutral
t112,neutral
t113,neutral
t114,neutral
t115,neutral
t116,neutral
t117,neutral
t118,neutral
t119,neutral
t120,neutral
