Row,Predicted
t6,neutral
t3,neutral
t1,neutral
t0,neutral
t2,neutral
t5,neutral
t7,neutral
t4,neutral
t11,neutral
t9,positive
t10,neutral
t12,neutral
t15,neutral
t17,negative
t23,neutral
t14,neutral
t8,neutral
t18,neutral
t22,neutral
t13,neutral
t31,neutral
t21,neutral
t20,positive
t30,neutral
t25,negative
t26,negative
t16,neutral
t19,neutral
t28,positive
t38,neutral
t34,neutral
t39,positive
t33,neutral
t24,positive
t27,neutral
t47,negative
t29,neutral
t36,neutral
t46,neutral
t41,neutral
t55,neutral
t32,neutral
t35,neutral
t37,neutral
t63,neutral
t42,neutral
t44,neutral
t40,neutral
t54,neutral
t50,positive
t52,neutral
t49,neutral
t58,neutral
t62,positive
t43,neutral
t48,neutral
t71,neutral
t45,neutral
t60,neutral
t51,neutral
t56,neutral
t79,neutral
t68,neutral
t70,neutral
t57,positive
t66,neutral
t53,neutral
t59,positive
t64,neutral
t65,neutral
t76,neutral
t78,positive
t61,neutral
t67,negative
t73,neutral
t72,neutral
t69,neutral
t80,neutral
t75,neutral
t77,positive
t74,neutral
t82,neutral
t81,neutral
t83,neutral
t84,neutral
t85,neutral
t86,neutral
t87,neutral
t88,positive
t89,neutral
t90,neutral
t91,neutral
t92,neutral
t93,neutral
t94,neutral
t95,neutral
t96,neutral
t97,neutral
t98,neutral
t99,neutral
t100,neutral
t101,neutral
t102,neutral
t103,neutral
t104,neutral
t105,neutral
t106,neutral
t107,neutral
t108,neutral
t109,neutral
t110,neutral
t111,neutral
t112,neutral
t113,neutral
