Row,Predicted
t5,neutral
t6,neutral
t2,neutral
t0,neutral
t4,neutral
t7,neutral
t3,neutral
t1,neutral
t14,neutral
t10,neutral
t15,neutral
t11,negative
t12,positive
t9,neutral
t13,neutral
t8,neutral
t18,neutral
t22,positive
t23,neutral
t19,positive
t17,neutral
t21,neutral
t16,neutral
t20,neutral
t31,positive
t26,neutral
t30,neutral
t29,neutral
t25,positive
t28,neutral
t24,neutral
t39,neutral
t34,neutral
t38,positive
t37,neutral
t33,neutral
t36,neutral
t32,neutral
t27,neutral
t47,positive
t42,neutral
t45,neutral
t46,neutral
t41,neutral
t40,neutral
t44,neutral
t35,neutral
t50,neutral
t53,neutral
t55,neutral
t52,neutral
t54,neutral
t49,negative
t48,neutral
t43,neutral
t61,neutral
t58,positive
t63,neutral
t62,positive
t60,neutral
t51,neutral
t56,neutral
t57,neutral
t69,neutral
t66,neutral
t71,neutral
t59,neutral
t70,neutral
t68,neutral
t64,neutral
t65,positive
t77,neutral
t67,neutral
t74,neutral
t79,positive
t78,neutral
t76,positive
t73,neutral
t72,neutral
t83,neutral
t75,neutral
t82,neutral
t85,neutral
t84,neutral
t80,neutral
t81,negative
t86,neutral
t87,neutral
t88,neutral
t89,neutral
t90,neutral
t91,neutral
t92,neutral
t93,neutral
t94,neutral
t95,neutral
t96,positive
t97,neutral
t98,neutral
t99,neutral
t100,neutral
t101,neutral
t102,neutral
t103,neutral
t104,neutral
t105,neutral
t106,neutral
t107,neutral
t108,neutral
t109,positive
t110,positive
t111,neutral
t112,positive
t113,neutral
t114,positive
t115,neutral
t116,positive
t117,positive
t118,neutral
t119,neutral
t120,neutral
t121,neutral
t122,neutral
t123,neutral
t124,neutral
t125,neutral
t126,neutral
t127,neutral
t128,neutral
t129,neutral
t130,neutral
t131,neutral
t132,neutral
t133,positive
t134,positive
t135,positive
t136,neutral
t137,neutral
t138,neutral
t139,neutral
t140,neutral
t141,positive
t142,neutral
t143,neutral
t144,positive
t145,positive
t146,neutral
t147,neutral
t148,neutral
t149,neutral
t150,neutral
t151,neutral
t152,neutral
t153,neutral
t154,neutral
t155,neutral
t156,neutral
t157,neutral
t158,neutral
t159,negative
t160,neutral
t161,neutral
t162,neutral
t163,neutral
t164,neutral
t165,neutral
t166,neutral
t167,neutral
t168,positive
t169,neutral
t170,neutral
t171,neutral
t172,neutral
t173,neutral
t174,neutral
t175,neutral
t176,neutral
t177,neutral
t178,neutral
t179,neutral
t180,neutral
t181,neutral
t182,neutral
t183,positive
t184,positive
t185,neutral
t186,neutral
t187,neutral
t188,neutral
t189,neutral
t190,neutral
t191,neutral
t192,neutral
t193,neutral
t194,neutral
t195,neutral
t196,negative
t197,neutral
t198,neutral
t199,neutral
t200,neutral
t201,positive
t202,positive
t203,negative
t204,neutral
t205,neutral
t206,neutral
t207,neutral
t208,neutral
t209,neutral
t210,neutral
t211,neutral
t212,neutral
t213,neutral
t214,negative
t215,positive
t216,neutral
t217,negative
t218,neutral
t219,neutral
t220,neutral
t221,neutral
t222,neutral
t223,neutral
t224,neutral
t225,positive
t226,positive
t227,neutral
t228,neutral
t229,neutral
t230,positive
t231,neutral
t232,neutral
t233,positive
t234,neutral
