Row,Predicted
t6,neutral
t1,neutral
t3,neutral
t0,neutral
t5,neutral
t7,neutral
t4,neutral
t13,neutral
t9,neutral
t17,neutral
t25,neutral
t15,neutral
t8,neutral
t23,neutral
t16,neutral
t21,positive
t24,positive
t12,neutral
t32,neutral
t40,neutral
t48,neutral
t14,positive
t31,positive
t22,neutral
t33,positive
t41,neutral
t49,neutral
t2,neutral
t39,neutral
t10,neutral
t56,positive
t30,positive
t11,positive
t18,positive
t26,neutral
t20,positive
t34,neutral
t47,neutral
t57,positive
t42,positive
t29,positive
t37,neutral
t45,neutral
t53,neutral
t64,neutral
t19,positive
t38,positive
t46,neutral
t28,positive
t72,neutral
t50,positive
t65,neutral
t36,neutral
t58,neutral
t55,positive
t61,positive
t69,neutral
t63,neutral
t77,neutral
t27,negative
t35,neutral
t66,neutral
t73,neutral
t44,positive
t71,neutral
t79,neutral
t83,positive
t80,positive
t88,neutral
t116,neutral
t117,neutral
t85,positive
t74,neutral
t101,neutral
t84,positive
t54,positive
t93,neutral
t62,neutral
t100,neutral
t86,neutral
t52,positive
t70,neutral
t81,positive
t78,neutral
t118,negative
t82,neutral
t87,neutral
t95,neutral
t90,neutral
t60,positive
t119,positive
t127,neutral
t43,positive
t133,neutral
t102,positive
t99,neutral
t68,neutral
t104,neutral
t91,positive
t136,positive
t92,neutral
t141,neutral
t143,negative
t76,neutral
t51,positive
t107,positive
t109,neutral
t110,neutral
t144,negative
t120,positive
t113,positive
t123,neutral
t96,positive
t147,positive
t112,positive
t156,neutral
t89,positive
t111,neutral
t125,positive
t59,negative
t94,positive
t157,neutral
t121,positive
t128,neutral
t137,neutral
t103,positive
t67,neutral
t122,negative
t114,negative
t126,neutral
t159,neutral
t75,neutral
t105,neutral
t97,positive
t98,neutral
t132,positive
t106,neutral
t134,positive
t158,neutral
t108,neutral
t142,positive
t115,positive
t162,neutral
t151,positive
t124,positive
t131,positive
t145,positive
t140,neutral
t148,neutral
t130,positive
t150,neutral
t149,neutral
t139,positive
t160,neutral
t164,neutral
t183,neutral
t191,neutral
t152,positive
t193,neutral
t155,neutral
t170,negative
t168,neutral
t129,positive
t135,positive
t172,neutral
t146,positive
t138,neutral
t176,neutral
t161,neutral
t182,neutral
t153,positive
t166,positive
t167,neutral
t184,neutral
t179,neutral
t169,neutral
t180,neutral
t173,neutral
t171,neutral
t185,neutral
t175,neutral
t189,negative
t177,neutral
t154,positive
t163,neutral
t192,neutral
t187,neutral
t190,neutral
t165,neutral
t186,neutral
t178,negative
t174,neutral
t181,neutral
t188,neutral
