Row,Predicted
t2,neutral
t0,neutral
t7,neutral
t5,neutral
t6,neutral
t3,neutral
t4,neutral
t1,neutral
t15,neutral
t8,neutral
t10,neutral
t14,neutral
t22,neutral
t16,neutral
t12,neutral
t9,neutral
t13,neutral
t18,neutral
t20,positive
t30,neutral
t23,neutral
t17,neutral
t26,neutral
t24,neutral
t28,neutral
t38,neutral
t25,neutral
t19,neutral
t31,neutral
t27,neutral
t46,neutral
t11,neutral
t33,positive
t32,neutral
t34,neutral
t35,neutral
t21,neutral
t40,neutral
t42,neutral
t41,neutral
t39,neutral
t29,neutral
t36,neutral
t54,neutral
t49,neutral
t43,neutral
t47,neutral
t37,neutral
t48,positive
t57,neutral
t50,neutral
t62,neutral
t51,neutral
t44,neutral
t58,neutral
t56,neutral
t52,neutral
t45,neutral
t55,neutral
t70,positive
t66,neutral
t63,positive
t60,positive
t59,neutral
t64,neutral
t53,neutral
t71,neutral
t72,neutral
t78,neutral
t61,neutral
t65,neutral
t74,neutral
t79,neutral
t67,neutral
t69,neutral
t80,neutral
t68,neutral
t73,neutral
t75,neutral
t76,neutral
t77,neutral
t81,neutral
t82,neutral
t83,neutral
t84,neutral
t85,neutral
t86,neutral
t87,neutral
t88,neutral
t89,neutral
t90,neutral
t91,neutral
t92,neutral
t93,neutral
t94,neutral
t95,neutral
t96,neutral
t97,neutral
t98,neutral
t99,neutral
t100,neutral
t101,neutral
t102,neutral
t103,neutral
t104,neutral
t105,neutral
