Row,Predicted
t5,neutral
t2,neutral
t7,neutral
t1,neutral
t0,neutral
t6,neutral
t3,neutral
t4,negative
t12,neutral
t14,neutral
t11,neutral
t10,neutral
t15,neutral
t8,neutral
t9,neutral
t13,neutral
t22,neutral
t19,neutral
t20,neutral
t16,neutral
t23,neutral
t18,neutral
t17,neutral
t21,neutral
t27,neutral
t24,neutral
t25,neutral
t28,neutral
t31,neutral
t26,neutral
t32,neutral
t33,neutral
t36,neutral
t30,positive
t29,negative
t35,neutral
t37,neutral
t40,neutral
t43,neutral
t51,neutral
t34,neutral
t38,neutral
t45,neutral
t48,neutral
t41,neutral
t46,neutral
t39,neutral
t44,neutral
t42,neutral
t47,neutral
t56,neutral
t50,positive
t54,neutral
t64,neutral
t49,neutral
t52,neutral
t62,neutral
t72,neutral
t55,neutral
t57,neutral
t53,neutral
t59,neutral
t58,neutral
t60,neutral
t70,neutral
t63,neutral
t65,positive
t66,neutral
t67,neutral
t78,positive
t68,neutral
t61,neutral
t74,neutral
t71,neutral
t69,neutral
t79,neutral
t73,positive
t76,neutral
t77,neutral
t75,neutral
t81,neutral
t80,neutral
t82,neutral
t83,neutral
t84,neutral
t85,neutral
t86,neutral
t87,neutral
t88,neutral
t89,neutral
t90,neutral
t91,neutral
t92,neutral
t93,neutral
t94,neutral
t95,neutral
t96,neutral
t97,neutral
t98,neutral
t99,positive
t100,neutral
t101,neutral
t102,neutral
t103,neutral
t104,negative
t105,neutral
t106,neutral
t107,neutral
t108,neutral
t109,neutral
t110,neutral
t111,neutral
t112,neutral
t113,neutral
t114,neutral
t115,neutral
t116,neutral
t117,neutral
t118,neutral
t119,neutral
t120,neutral
t121,neutral
t122,neutral
t123,neutral
t124,neutral
t125,positive
t126,neutral
t127,neutral
t128,neutral
t129,positive
t130,neutral
t131,neutral
t132,positive
t133,neutral
t134,neutral
t135,neutral
t136,neutral
t137,neutral
t138,neutral
t139,neutral
t140,neutral
t141,neutral
t142,neutral
t143,neutral
t144,neutral
t145,neutral
t146,neutral
