Row,Predicted
t6,neutral
t2,neutral
t1,neutral
t4,neutral
t5,neutral
t7,positive
t0,neutral
t3,neutral
t10,neutral
t9,neutral
t12,neutral
t13,negative
t15,neutral
t8,neutral
t14,neutral
t11,negative
t21,neutral
t18,neutral
t23,neutral
t22,neutral
t16,neutral
t20,neutral
t17,neutral
t19,neutral
t29,neutral
t31,positive
t25,negative
t28,neutral
t30,neutral
t26,neutral
t24,neutral
t27,neutral
t33,neutral
t37,neutral
t38,neutral
t39,neutral
t36,neutral
t46,neutral
t35,neutral
t47,positive
t43,neutral
t34,neutral
t55,neutral
t44,neutral
t41,neutral
t45,neutral
t52,neutral
t32,positive
t54,neutral
t63,neutral
t53,neutral
t51,positive
t40,neutral
t71,neutral
t48,neutral
t42,neutral
t61,negative
t62,neutral
t69,neutral
t70,neutral
t79,neutral
t86,negative
t87,neutral
t49,positive
t50,neutral
t78,neutral
t59,neutral
t60,negative
t67,neutral
t85,neutral
t68,neutral
t89,negative
t57,neutral
t65,neutral
t56,neutral
t73,neutral
t77,neutral
t81,neutral
t76,negative
t83,negative
t90,neutral
t75,neutral
t84,negative
t58,neutral
t88,neutral
t66,neutral
t64,neutral
t74,neutral
t72,neutral
t91,neutral
t80,neutral
t82,positive
t92,neutral
t93,neutral
t94,positive
t95,neutral
t96,neutral
t97,neutral
t98,neutral
t99,neutral
t100,negative
t101,neutral
t102,neutral
t103,neutral
t104,neutral
t105,positive
t106,neutral
t107,neutral
t108,neutral
t109,neutral
t110,neutral
t111,neutral
t112,neutral
t113,neutral
t114,negative
t115,positive
t116,neutral
t117,negative
t118,neutral
t119,neutral
t120,neutral
t121,neutral
t122,neutral
t123,neutral
t124,neutral
t125,neutral
t126,neutral
t127,neutral
t128,neutral
t129,neutral
t130,neutral
t131,neutral
t132,neutral
t133,neutral
t134,neutral
t135,neutral
t136,neutral
t137,neutral
t138,positive
t139,neutral
t140,neutral
t141,neutral
t142,neutral
t143,neutral
t144,neutral
t145,neutral
t146,positive
t147,neutral
t148,neutral
