Row,Predicted
t0,neutral
t5,neutral
t8,neutral
t1,neutral
t4,neutral
t9,neutral
t2,neutral
t7,neutral
t10,neutral
t15,neutral
t17,neutral
t6,neutral
t13,neutral
t14,neutral
t22,neutral
t12,neutral
t20,neutral
t21,neutral
t23,neutral
t30,neutral
t29,neutral
t37,neutral
t16,neutral
t25,neutral
t33,neutral
t18,neutral
t45,neutral
t26,neutral
t38,neutral
t46,neutral
t54,neutral
t34,neutral
t53,neutral
t42,neutral
t41,neutral
t28,neutral
t49,neutral
t50,neutral
t24,neutral
t3,neutral
t11,neutral
t32,neutral
t19,neutral
t36,neutral
t31,neutral
t39,neutral
t47,neutral
t40,neutral
t44,neutral
t48,neutral
t27,neutral
t52,neutral
t35,neutral
t43,neutral
t51,neutral
